h;d;av;author;year;manuscript;experiment;d_type;jod_type;stim_type;att_type;vpnr;value;stim_id;Beding;unique_id;id
2;16;jof;Winkler;2009;1;2;total;total;word;high;50;7,00;NA;NA;Winkler 2009 1 2 50;701
2;16;jof;Winkler;2009;1;2;total;total;word;high;51;2,00;NA;NA;Winkler 2009 1 2 51;702
2;16;jof;Winkler;2009;1;2;total;total;word;high;52;3,00;NA;NA;Winkler 2009 1 2 52;703
2;16;jof;Winkler;2009;1;2;total;total;word;high;53;3,00;NA;NA;Winkler 2009 1 2 53;704
2;16;jof;Winkler;2009;1;2;total;total;word;high;54;3,00;NA;NA;Winkler 2009 1 2 54;705
2;16;jof;Winkler;2009;1;2;total;total;word;high;55;4,00;NA;NA;Winkler 2009 1 2 55;706
2;16;jof;Winkler;2009;1;2;total;total;word;high;56;7,00;NA;NA;Winkler 2009 1 2 56;707
2;16;jof;Winkler;2009;1;2;total;total;word;high;57;2,00;NA;NA;Winkler 2009 1 2 57;708
2;16;jof;Winkler;2009;1;2;total;total;word;high;58;3,00;NA;NA;Winkler 2009 1 2 58;709
2;16;jof;Winkler;2009;1;2;total;total;word;high;59;3,00;NA;NA;Winkler 2009 1 2 59;710
2;16;jof;Winkler;2009;1;2;total;total;word;high;60;5,00;NA;NA;Winkler 2009 1 2 60;712
2;16;jof;Winkler;2009;1;2;total;total;word;high;61;2,00;NA;NA;Winkler 2009 1 2 61;713
2;16;jof;Winkler;2009;1;2;total;total;word;high;62;4,00;NA;NA;Winkler 2009 1 2 62;714
2;16;jof;Winkler;2009;1;2;total;total;word;high;63;2,00;NA;NA;Winkler 2009 1 2 63;715
2;16;jof;Winkler;2009;1;2;total;total;word;high;64;2,00;NA;NA;Winkler 2009 1 2 64;716
2;16;jof;Winkler;2009;1;2;total;total;word;high;65;7,00;NA;NA;Winkler 2009 1 2 65;717
2;16;jof;Winkler;2009;1;2;total;total;word;high;66;6,00;NA;NA;Winkler 2009 1 2 66;718
2;16;jof;Winkler;2009;1;2;total;total;word;high;67;5,00;NA;NA;Winkler 2009 1 2 67;719
2;16;jof;Winkler;2009;1;2;total;total;word;high;68;2,00;NA;NA;Winkler 2009 1 2 68;720
2;16;jof;Winkler;2009;1;2;total;total;word;high;69;2,00;NA;NA;Winkler 2009 1 2 69;721
2;16;jof;Winkler;2009;1;2;total;total;word;high;70;2,00;NA;NA;Winkler 2009 1 2 70;723
2;16;jof;Winkler;2009;1;2;total;total;word;high;71;3,00;NA;NA;Winkler 2009 1 2 71;724
2;16;jof;Winkler;2009;1;2;total;total;word;high;72;2,00;NA;NA;Winkler 2009 1 2 72;725
2;16;jof;Winkler;2009;1;2;total;total;word;high;73;6,00;NA;NA;Winkler 2009 1 2 73;726
